2rbp 1.46691 2rbs 1.557 2rbs 269
2bya 1.3 1gi2 1.3301 1gi2 122
5mnz 1.3994 1gi2 1.3301 1gi2 122
4ncy 1.423 1gi1 1.3309 1gi1 BMZ
2by5 1.30002 1gi1 1.3309 1gi1 BMZ
2by6 1.30002 1gi1 1.3309 1gi1 BMZ
2by7 1.3 1gi1 1.3309 1gi1 BMZ
2by8 1.30001 1gi1 1.3309 1gi1 BMZ
2by9 1.30002 1gi1 1.3309 1gi1 BMZ
2bya 1.3 1gi1 1.3309 1gi1 BMZ
5mnz 1.3994 1gi1 1.3309 1gi1 BMZ
4fl8 1.19561 5wlo 1.26938 5wlo GR7
5bry 1.33877 5wlo 1.26938 5wlo GR7
1c1o 1.3301 1gi0 1.34009 1gi0 BMZ
1c2l 1.33027 1gi0 1.34009 1gi0 BMZ
1c2m 1.33039 1gi0 1.34009 1gi0 BMZ
1c5v 1.33037 1gi0 1.34009 1gi0 BMZ
1t99 1.75004 1zha 1.73991 1zha APX
1c1o 1.3301 1ghz 1.3301 1ghz 120
1c2l 1.33027 1ghz 1.3301 1ghz 120
1c2m 1.33039 1ghz 1.3301 1ghz 120
1c5v 1.33037 1ghz 1.3301 1ghz 120
2j12 1.50119 2wbw 1.55016 2wbw SIA
3mi1 1.74074 4whq 1.78235 4whq 3N8
4who 1.82997 4whq 1.78235 4whq 3N8
5ch3 1.71001 5tyk 1.65 5tyk 7N4
5ivh 1.71001 5tyk 1.65 5tyk 7N4
5ivd 1.71001 5tyk 1.65 5tyk 7N4
3s0a 1.1499 3s0d 1.24001 3s0d CTV
3mv4 1.59235 4whr 1.58205 4whr 3N8
3t63 1.54231 4whr 1.58205 4whr 3N8
3t67 1.6722 4whr 1.58205 4whr 3N8
4whp 1.54106 4whr 1.58205 4whr 3N8
5kki 1.70001 1uih 1.75176 1uih NAG
1rfp 1.74579 1uih 1.75176 1uih NAG
1azf 1.65344 1uih 1.75176 1uih NAG
4owb 1.694 1uih 1.75176 1uih NAG
1jiy 1.85011 1uih 1.75176 1uih NAG
1yky 1.80001 1uih 1.75176 1uih NAG
1ykz 1.8 1uih 1.75176 1uih NAG
1yl0 1.80206 1uih 1.75176 1uih NAG
1yl1 1.80004 1uih 1.75176 1uih NAG
1z55 1.79999 1uih 1.75176 1uih NAG
5fek 1.80001 1uih 1.75176 1uih NAG
5fdj 1.80001 1uih 1.75176 1uih NAG
5apc 1.70011 1uih 1.75176 1uih NAG
5apd 1.70011 1uih 1.75176 1uih NAG
5apf 1.70001 1uih 1.75176 1uih NAG
5ape 1.70001 1uih 1.75176 1uih NAG
4bs7 1.70004 1uih 1.75176 1uih NAG
5d5c 1.67671 1uih 1.75176 1uih NAG
4woa 1.79543 1uih 1.75176 1uih NAG
2aub 1.70003 1uih 1.75176 1uih NAG
6muz 1.83937 1uih 1.75176 1uih NAG
4ng1 1.82076 1uih 1.75176 1uih NAG
4wl6 1.85005 1uih 1.75176 1uih NAG
5hll 1.6996 1uih 1.75176 1uih NAG
4wg1 1.70001 1uih 1.75176 1uih NAG
5la5 1.69962 1uih 1.75176 1uih NAG
4wg7 1.70002 1uih 1.75176 1uih NAG
5mjj 1.71412 1uih 1.75176 1uih NAG
1bvx 1.70033 1uih 1.75176 1uih NAG
1bwh 1.70015 1uih 1.75176 1uih NAG
1bwi 1.70082 1uih 1.75176 1uih NAG
1bwj 1.80015 1uih 1.75176 1uih NAG
1vdt 1.70001 1uih 1.75176 1uih NAG
5ilf 1.84959 1uih 1.75176 1uih NAG
4xjf 1.80014 1uih 1.75176 1uih NAG
4xjg 1.8002 1uih 1.75176 1uih NAG
4xjb 1.80001 1uih 1.75176 1uih NAG
4lfp 1.71977 1uih 1.75176 1uih NAG
3b2x 1.50153 2zxg 1.54996 2zxg S23
2hpo 1.5 2zxg 1.54996 2zxg S23
3f38 1.75029 3f33 1.70022 3f33 PFL
3f32 1.7 3f33 1.70022 3f33 PFL
3f38 1.75029 3f34 1.68014 3f34 DIE
3f32 1.7 3f34 1.68014 3f34 DIE
6cob 1.82117 6coe 1.84401 6coe MXN
2ggn 1.35006 2wd4 1.40065 2wd4 TBV
2vnx 1.50008 2wd4 1.40065 2wd4 TBV
2vk5 0.969995 2bf6 0.970001 2bf6 SIA
3f38 1.75029 3f36 1.70006 3f36 IP0
3f32 1.7 3f36 1.70006 3f36 IP0
4who 1.82997 3mv6 1.85894 3mv6 DHB
3htg 1.25621 3huk 1.28928 3huk J0Z
3q93 1.8 5nhy 1.72005 5nhy 8XT
3mi1 1.74074 3mfl 1.77562 3mfl DHY
4who 1.82997 3mfl 1.77562 3mfl DHY
3kok 1.39809 6oe0 1.3 6oe0 M8S
5u0f 1.20679 6oe0 1.3 6oe0 M8S
4qol 1.65 4qom 1.65 4qom PYG
4qoo 1.75 4qom 1.65 4qom PYG
3kon 1.49753 6oe1 1.45 6oe1 M8V
3kok 1.39809 6oe1 1.45 6oe1 M8V
2ax2 1.50001 6oe1 1.45 6oe1 M8V
4i4u 1.57201 4i4v 1.50001 4i4v NGA
4js6 1.55005 4jsa 1.50004 4jsa FB2
4jss 1.5001 4jsa 1.50004 4jsa FB2
4jsw 1.9 4jsz 1.90001 4jsz FB2
2ntw 1.53042 2ntu 1.53046 2ntu RET
1i2s 1.65321 1i2w 1.65439 1i2w 1QL
3rxp 1.59933 1tx8 1.69714 1tx8 AM4
3rxl 1.70005 1tx8 1.69714 1tx8 AM4
3rxh 1.69947 1tx8 1.69714 1tx8 AM4
3rxc 1.69946 1tx8 1.69714 1tx8 AM4
3rxg 1.69925 1tx8 1.69714 1tx8 AM4
3rxf 1.70009 1tx8 1.69714 1tx8 AM4
3rxq 1.68027 1tx8 1.69714 1tx8 AM4
3atk 1.74102 1tx8 1.69714 1tx8 AM4
3rxa 1.70002 1tx8 1.69714 1tx8 AM4
3rxr 1.72002 1tx8 1.69714 1tx8 AM4
1tpo 1.70002 1tx8 1.69714 1tx8 AM4
3ptb 1.70009 1tx8 1.69714 1tx8 AM4
2vb9 1.50006 2vb8 1.51618 2vb8 TLM
1l83 1.70629 2ray 1.79764 2ray 258
1l90 1.75009 2ray 1.79764 2ray 258
181l 1.70629 2ray 1.79764 2ray 258
188l 1.78733 2ray 1.79764 2ray 258
3mi4 0.801098 4i8h 0.75183 4i8h BEN
3mfj 0.801098 4i8h 0.75183 4i8h BEN
5mn1 0.788483 4i8h 0.75183 4i8h BEN
5mnk 0.798835 4i8h 0.75183 4i8h BEN
4zao 1.80065 6eeo 1.71914 6eeo J6V
1ce5 1.89951 1g3c 1.79994 1g3c 109
2bza 1.89974 1g3c 1.79994 1g3c 109
3ev0 1.77151 1w4p 1.67569 1w4p UM3
4l55 1.64668 1w4p 1.67569 1w4p UM3
3rxl 1.70005 1tx7 1.75062 1tx7 4CM
3rxh 1.69947 1tx7 1.75062 1tx7 4CM
3rxc 1.69946 1tx7 1.75062 1tx7 4CM
3rxg 1.69925 1tx7 1.75062 1tx7 4CM
3rxf 1.70009 1tx7 1.75062 1tx7 4CM
3rxq 1.68027 1tx7 1.75062 1tx7 4CM
3atk 1.74102 1tx7 1.75062 1tx7 4CM
3rxa 1.70002 1tx7 1.75062 1tx7 4CM
3rxr 1.72002 1tx7 1.75062 1tx7 4CM
1tpo 1.70002 1tx7 1.75062 1tx7 4CM
3ptb 1.70009 1tx7 1.75062 1tx7 4CM
3rxp 1.59933 1bjv 1.69873 1bjv GP8
3rxl 1.70005 1bjv 1.69873 1bjv GP8
3rxh 1.69947 1bjv 1.69873 1bjv GP8
3rxc 1.69946 1bjv 1.69873 1bjv GP8
3rxg 1.69925 1bjv 1.69873 1bjv GP8
3rxf 1.70009 1bjv 1.69873 1bjv GP8
3rxe 1.69935 1bjv 1.69873 1bjv GP8
3rxq 1.68027 1bjv 1.69873 1bjv GP8
3rxv 1.70004 1bjv 1.69873 1bjv GP8
3atl 1.739 1bjv 1.69873 1bjv GP8
3atk 1.74102 1bjv 1.69873 1bjv GP8
3rxa 1.70002 1bjv 1.69873 1bjv GP8
3rxr 1.72002 1bjv 1.69873 1bjv GP8
4l55 1.64668 1w4o 1.61161 1w4o UA3
6b6b 1.80003 6b6c 1.89961 6b6c 9F2
3mi4 0.801098 4i8j 0.871002 4i8j BEN
3mfj 0.801098 4i8j 0.871002 4i8j BEN
5mn1 0.788483 4i8j 0.871002 4i8j BEN
5mnc 0.915877 4i8j 0.871002 4i8j BEN
5mnk 0.798835 4i8j 0.871002 4i8j BEN
1ce5 1.89951 1f0t 1.90028 1f0t PR1
2bza 1.89974 1f0t 1.90028 1f0t PR1
2tio 1.932 1f0t 1.90028 1f0t PR1
6b6b 1.80003 6b6e 1.89964 6b6e 9F2
3atl 1.739 3aau 1.80029 3aau GZC
3atk 1.74102 3aau 1.80029 3aau GZC
3rxr 1.72002 3aau 1.80029 3aau GZC
1ce5 1.89951 1f0u 1.80166 1f0u RPR
2bza 1.89974 1f0u 1.80166 1f0u RPR
1j8a 1.20113 4yta 1.20002 4yta BEN
4tpy 1.3 4yta 1.20002 4yta BEN
2by5 1.30002 4yta 1.20002 4yta BEN
2by6 1.30002 4yta 1.20002 4yta BEN
2by7 1.3 4yta 1.20002 4yta BEN
2by8 1.30001 4yta 1.20002 4yta BEN
2by9 1.30002 4yta 1.20002 4yta BEN
2bya 1.3 4yta 1.20002 4yta BEN
2blw 1.20005 4yta 1.20002 4yta BEN
2blv 1.20046 4yta 1.20002 4yta BEN
3mi4 0.801098 4i8k 0.849539 4i8k BEN
3mfj 0.801098 4i8k 0.849539 4i8k BEN
5mn1 0.788483 4i8k 0.849539 4i8k BEN
5mnc 0.915877 4i8k 0.849539 4i8k BEN
5mnk 0.798835 4i8k 0.849539 4i8k BEN
3mi4 0.801098 4i8g 0.801098 4i8g BEN
3mfj 0.801098 4i8g 0.801098 4i8g BEN
5mn1 0.788483 4i8g 0.801098 4i8g BEN
5mnk 0.798835 4i8g 0.801098 4i8g BEN
3mi4 0.801098 4i8l 0.869009 4i8l BEN
3mfj 0.801098 4i8l 0.869009 4i8l BEN
5mn1 0.788483 4i8l 0.869009 4i8l BEN
5mnc 0.915877 4i8l 0.869009 4i8l BEN
5mnk 0.798835 4i8l 0.869009 4i8l BEN
3ioh 1.25001 6gx0 1.25 6gx0 GDU
1utq 1.14998 4mtb 1.21974 4mtb BZY
1ce5 1.89951 1g3e 1.8 1g3e 109
2bza 1.89974 1g3e 1.8 1g3e 109
1ce5 1.89951 1g3d 1.79999 1g3d 108
2bza 1.89974 1g3d 1.79999 1g3d 108
3ev0 1.77151 1w4q 1.67652 1w4q UMF
4l55 1.64668 1w4q 1.67652 1w4q UMF
1j8a 1.20113 3unr 1.20002 3unr BEN
4tpy 1.3 3unr 1.20002 3unr BEN
2by5 1.30002 3unr 1.20002 3unr BEN
2by6 1.30002 3unr 1.20002 3unr BEN
2by7 1.3 3unr 1.20002 3unr BEN
2by8 1.30001 3unr 1.20002 3unr BEN
2by9 1.30002 3unr 1.20002 3unr BEN
2bya 1.3 3unr 1.20002 3unr BEN
2blw 1.20005 3unr 1.20002 3unr BEN
2blv 1.20046 3unr 1.20002 3unr BEN
6b6b 1.80003 6b6d 1.80001 6b6d 9F2
4q7s 1.80026 6ebe 1.8795 6ebe J3V
3k7k 1.90022 6ebe 1.8795 6ebe J3V
3m1j 1.80012 6ebe 1.8795 6ebe J3V
1f2w 1.90004 6ebe 1.8795 6ebe J3V
4q7s 1.80026 6eda 1.8795 6eda J3V
3k7k 1.90022 6eda 1.8795 6eda J3V
3m1j 1.80012 6eda 1.8795 6eda J3V
1f2w 1.90004 6eda 1.8795 6eda J3V
5k7r 1.50001 5t3h 1.55032 5t3h SEY
2j9n 1.492 5t3h 1.55032 5t3h SEY
1ce5 1.89951 1g3b 1.80005 1g3b 108
2bza 1.89974 1g3b 1.80005 1g3b 108
3p1c 1.82011 4a9k 1.80605 4a9k TYL
3p1d 1.86007 4a9k 1.80605 4a9k TYL
4zao 1.80065 6e8p 1.8998 6e8p HZJ
5xzt 1.80001 5y02 1.8 5y02 MXN
1tgc 1.7973 1qbo 1.80201 1qbo 711
2tga 1.70244 1qbo 1.80201 1qbo 711
4zao 1.80065 6e91 1.79878 6e91 J04
5yuk 1.449 3ryj 1.39136 3ryj RYJ
4q7w 1.45001 3ryj 1.39136 3ryj RYJ
5thn 1.29774 3ryj 1.39136 3ryj RYJ
6hx5 1.44002 3ryj 1.39136 3ryj RYJ
5dso 1.40099 3ryj 1.39136 3ryj RYJ
5dsr 1.2992 3ryj 1.39136 3ryj RYJ
5dsp 1.39831 3ryj 1.39136 3ryj RYJ
5dsl 1.44774 3ryj 1.39136 3ryj RYJ
5dsm 1.3007 3ryj 1.39136 3ryj RYJ
5dsk 1.29983 3ryj 1.39136 3ryj RYJ
4ygn 1.22908 3ryv 1.19201 3ryv RYV
4q7p 1.65005 2fmg 1.59975 2fmg PHE
4q8z 1.5009 2fmg 1.59975 2fmg PHE
4q7v 1.60001 2fmg 1.59975 2fmg PHE
4q99 1.50001 2fmg 1.59975 2fmg PHE
4q9y 1.55 2fmg 1.59975 2fmg PHE
4q90 1.54001 2fmg 1.59975 2fmg PHE
4mlx 1.65 2fmg 1.59975 2fmg PHE
3s76 1.60101 2fmg 1.59975 2fmg PHE
4q7p 1.65005 2fmz 1.59992 2fmz DPN
4q8z 1.5009 2fmz 1.59992 2fmz DPN
4q7v 1.60001 2fmz 1.59992 2fmz DPN
4q99 1.50001 2fmz 1.59992 2fmz DPN
4q9y 1.55 2fmz 1.59992 2fmz DPN
4q90 1.54001 2fmz 1.59992 2fmz DPN
4mlx 1.65 2fmz 1.59992 2fmz DPN
3s76 1.60101 2fmz 1.59992 2fmz DPN
4q7p 1.65005 5sz2 1.63033 5sz2 72G
4q7v 1.60001 5sz2 1.63033 5sz2 72G
4q9y 1.55 5sz2 1.63033 5sz2 72G
4q90 1.54001 5sz2 1.63033 5sz2 72G
4e5q 1.7024 5sz2 1.63033 5sz2 72G
4mlx 1.65 5sz2 1.63033 5sz2 72G
3s76 1.60101 5sz2 1.63033 5sz2 72G
4q7p 1.65005 5sz3 1.68884 5sz3 72H
4q7v 1.60001 5sz3 1.68884 5sz3 72H
4e5q 1.7024 5sz3 1.68884 5sz3 72H
4mlx 1.65 5sz3 1.68884 5sz3 72H
3s76 1.60101 5sz3 1.68884 5sz3 72H
4ywp 1.44816 6gxb 1.34991 6gxb FF5
5yui 1.19929 5nxg 1.199 5nxg RA1
5yuj 1.24791 5nxg 1.199 5nxg RA1
5thn 1.29774 5nxg 1.199 5nxg RA1
5y2r 0.999048 4fvo 1.04967 4fvo 0VV
3d93 1.10095 4fvo 1.04967 4fvo 0VV
3d92 1.10517 4fvo 1.04967 4fvo 0VV
5y2r 0.999048 4fvn 1.05024 4fvn 0VW
3d93 1.10095 4fvn 1.05024 4fvn 0VW
3d92 1.10517 4fvn 1.05024 4fvn 0VW
4q7p 1.65005 5w8b 1.60123 5w8b A57
4q7v 1.60001 5w8b 1.60123 5w8b A57
4q9y 1.55 5w8b 1.60123 5w8b A57
4q90 1.54001 5w8b 1.60123 5w8b A57
4mlx 1.65 5w8b 1.60123 5w8b A57
3s76 1.60101 5w8b 1.60123 5w8b A57
4zao 1.80065 6e92 1.77248 6e92 HZY
4q7p 1.65005 6b59 1.63781 6b59 CQS
4q9y 1.55 6b59 1.63781 6b59 CQS
4q90 1.54001 6b59 1.63781 6b59 CQS
4mlx 1.65 6b59 1.63781 6b59 CQS
3s76 1.60101 6b59 1.63781 6b59 CQS
3k7k 1.90022 5eij 1.97568 5eij 5OT
1f2w 1.90004 5eij 1.97568 5eij 5OT
4q7p 1.65005 6mbv 1.69462 6mbv NIO
4q7v 1.60001 6mbv 1.69462 6mbv NIO
4e5q 1.7024 6mbv 1.69462 6mbv NIO
4mlx 1.65 6mbv 1.69462 6mbv NIO
3s76 1.60101 6mbv 1.69462 6mbv NIO
5y2r 0.999048 4frc 0.980049 4frc 0VY
5y2s 0.897466 4frc 0.980049 4frc 0VY
3ks3 0.900347 4frc 0.980049 4frc 0VY
4zao 1.80065 5jmz 1.89969 5jmz AYX
4q7p 1.65005 2q1q 1.65883 2q1q OSP
4q7v 1.60001 2q1q 1.65883 2q1q OSP
4e5q 1.7024 2q1q 1.65883 2q1q OSP
4mlx 1.65 2q1q 1.65883 2q1q OSP
3s76 1.60101 2q1q 1.65883 2q1q OSP
3k7k 1.90022 4m2u 1.99916 4m2u ETS
1f2w 1.90004 4m2u 1.99916 4m2u ETS
3d93 1.10095 5nya 1.19906 5nya GUA
3gz0 1.26699 5nya 1.19906 5nya GUA
5yui 1.19929 5nya 1.19906 5nya GUA
5yuj 1.24791 5nya 1.19906 5nya GUA
5thn 1.29774 5nya 1.19906 5nya GUA
3d92 1.10517 5nya 1.19906 5nya GUA
5yuk 1.449 5sz1 1.54673 5sz1 72E
4q8z 1.5009 5sz1 1.54673 5sz1 72E
4q7v 1.60001 5sz1 1.54673 5sz1 72E
4q7w 1.45001 5sz1 1.54673 5sz1 72E
5thj 1.49803 5sz1 1.54673 5sz1 72E
4q99 1.50001 5sz1 1.54673 5sz1 72E
4q9y 1.55 5sz1 1.54673 5sz1 72E
4q90 1.54001 5sz1 1.54673 5sz1 72E
3p5a 1.4914 5sz1 1.54673 5sz1 72E
5dsq 1.49775 5sz1 1.54673 5sz1 72E
5dsl 1.44774 5sz1 1.54673 5sz1 72E
3s76 1.60101 5sz1 1.54673 5sz1 72E
2oxz 1.90005 3lka 1.80053 3lka M4S
5u0f 1.20679 5nxm 1.24625 5nxm RA5
5yuk 1.449 5jn7 1.51661 5jn7 6LU
4q8z 1.5009 5jn7 1.51661 5jn7 6LU
4q7v 1.60001 5jn7 1.51661 5jn7 6LU
4q7w 1.45001 5jn7 1.51661 5jn7 6LU
5thj 1.49803 5jn7 1.51661 5jn7 6LU
4q99 1.50001 5jn7 1.51661 5jn7 6LU
4q9y 1.55 5jn7 1.51661 5jn7 6LU
4q90 1.54001 5jn7 1.51661 5jn7 6LU
3p5a 1.4914 5jn7 1.51661 5jn7 6LU
6hx5 1.44002 5jn7 1.51661 5jn7 6LU
5dsq 1.49775 5jn7 1.51661 5jn7 6LU
5dsl 1.44774 5jn7 1.51661 5jn7 6LU
3s76 1.60101 5jn7 1.51661 5jn7 6LU
3kon 1.49753 4z1n 1.46883 4z1n 4KD
3kok 1.39809 4z1n 1.46883 4z1n 4KD
2vva 1.55996 4z1n 1.46883 4z1n 4KD
2ax2 1.50001 4z1n 1.46883 4z1n 4KD
4q7s 1.80026 3m2x 1.86637 3m2x BEX
3k7k 1.90022 3m2x 1.86637 3m2x BEX
3m1j 1.80012 3m2x 1.86637 3m2x BEX
1f2w 1.90004 3m2x 1.86637 3m2x BEX
5yuk 1.449 6mby 1.49552 6mby FER
4q8z 1.5009 6mby 1.49552 6mby FER
4q7w 1.45001 6mby 1.49552 6mby FER
5thj 1.49803 6mby 1.49552 6mby FER
4q99 1.50001 6mby 1.49552 6mby FER
4q9y 1.55 6mby 1.49552 6mby FER
4q90 1.54001 6mby 1.49552 6mby FER
3p5a 1.4914 6mby 1.49552 6mby FER
6hx5 1.44002 6mby 1.49552 6mby FER
5dso 1.40099 6mby 1.49552 6mby FER
5dsq 1.49775 6mby 1.49552 6mby FER
5dsp 1.39831 6mby 1.49552 6mby FER
5dsl 1.44774 6mby 1.49552 6mby FER
5nxv 1.09728 5ny6 1.10018 5ny6 9EB
2ili 1.04997 5ny6 1.10018 5ny6 9EB
4ywp 1.44816 5wlu 1.38754 5wlu 42G
5u0f 1.20679 5nxp 1.24888 5nxp 9DH
3kon 1.49753 5ny3 1.39992 5ny3 9E8
3kok 1.39809 5ny3 1.39992 5ny3 9E8
3kon 1.49753 4z0q 1.45025 4z0q 4K9
3kok 1.39809 4z0q 1.45025 4z0q 4K9
2ax2 1.50001 4z0q 1.45025 4z0q 4K9
6bfj 1.54275 2xyg 1.57594 2xyg TQ8
4q7s 1.80026 3mnu 1.80152 3mnu BON
3k7k 1.90022 3mnu 1.80152 3mnu BON
4e5q 1.7024 3mnu 1.80152 3mnu BON
3m1j 1.80012 3mnu 1.80152 3mnu BON
1f2w 1.90004 3mnu 1.80152 3mnu BON
4ywp 1.44816 5wlr 1.46201 5wlr 86B
5y2r 0.999048 4fu5 0.979928 4fu5 0VX
5y2s 0.897466 4fu5 0.979928 4fu5 0VX
3ks3 0.900347 4fu5 0.979928 4fu5 0VX
4q7p 1.65005 5wlt 1.56956 5wlt 86B
4q8z 1.5009 5wlt 1.56956 5wlt 86B
5thj 1.49803 5wlt 1.56956 5wlt 86B
4q99 1.50001 5wlt 1.56956 5wlt 86B
4q9y 1.55 5wlt 1.56956 5wlt 86B
4q90 1.54001 5wlt 1.56956 5wlt 86B
3p5a 1.4914 5wlt 1.56956 5wlt 86B
4mlx 1.65 5wlt 1.56956 5wlt 86B
5dsq 1.49775 5wlt 1.56956 5wlt 86B
3s76 1.60101 5wlt 1.56956 5wlt 86B
3gz0 1.26699 4z1k 1.34993 4z1k 4KB
5yuk 1.449 4z1k 1.34993 4z1k 4KB
5thn 1.29774 4z1k 1.34993 4z1k 4KB
6hx5 1.44002 4z1k 1.34993 4z1k 4KB
5dso 1.40099 4z1k 1.34993 4z1k 4KB
5dsr 1.2992 4z1k 1.34993 4z1k 4KB
5dsp 1.39831 4z1k 1.34993 4z1k 4KB
5dsl 1.44774 4z1k 1.34993 4z1k 4KB
5dsm 1.3007 4z1k 1.34993 4z1k 4KB
5dsk 1.29983 4z1k 1.34993 4z1k 4KB
3d93 1.10095 5nxw 1.09912 5nxw RA9
2rbp 1.46691 1xep 1.54969 1xep CAQ
4q7s 1.80026 3bl0 1.90001 3bl0 BL0
3k7k 1.90022 3bl0 1.90001 3bl0 BL0
3m1j 1.80012 3bl0 1.90001 3bl0 BL0
1f2w 1.90004 3bl0 1.90001 3bl0 BL0
4q7p 1.65005 5sz0 1.62888 5sz0 72D
4q7v 1.60001 5sz0 1.62888 5sz0 72D
4q9y 1.55 5sz0 1.62888 5sz0 72D
4q90 1.54001 5sz0 1.62888 5sz0 72D
4e5q 1.7024 5sz0 1.62888 5sz0 72D
4mlx 1.65 5sz0 1.62888 5sz0 72D
